name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"London,UK",2013-09-01T00:00:00,11.5,11.5,4.7,62.75,0,0,,0,0,,7.1,322,1029.9,93.8,37.7,0,0,0,,Overcast,cloudy,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T01:00:00,11,11,5.1,67.15,0,0,,0,0,,7.1,321,1030.2,94.3,34.4,0,0,0,,Overcast,cloudy,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T02:00:00,10.3,10.3,5.4,71.86,0,0,,0,0,,6.4,311,1030.3,94.1,38.8,0,0,0,,Overcast,cloudy,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T03:00:00,9.6,9.6,5.7,76.6,0,0,,0,0,,3.3,289,1030.3,93.8,25.4,0,0,0,,Overcast,cloudy,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T04:00:00,9.1,8.5,5.6,79.07,0,0,,0,0,,5.7,302,1030.4,93.9,27.1,0,0,0,,Overcast,cloudy,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T05:00:00,9.2,8.3,5.7,78.71,0,0,,0,0,,7.1,279,1030.1,93.9,36.1,0,0,0,,Overcast,cloudy,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T06:00:00,8.6,7.6,5.7,81.92,0,0,,0,0,,6.9,273,1030.4,94.4,37.5,9.5,0,0,,Overcast,cloudy,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T07:00:00,8.5,8.5,5.9,83.78,0,0,,0,0,,4.6,259,1030.7,90,31.4,55.7,0.2,1,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T08:00:00,9.9,9.4,6.8,80.96,0,0,,0,0,,5.8,265,1031,90,31.8,111.6,0.4,1,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T09:00:00,12,12,7.7,74.61,0,0,,0,0,,9,278,1031.2,90,32.1,201.3,0.7,2,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T10:00:00,13.7,13.7,7.5,66.2,0,0,,0,0,,9.9,293,1031.2,90,37.4,337.8,1.2,3,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T11:00:00,15,15,7.4,60.37,0,0,,0,0,,13.6,293,1030.9,90,32.9,534,1.9,5,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T12:00:00,16.6,16.6,7.5,55.21,0,0,,0,0,,15.7,280,1030.6,90,31.8,514.8,1.9,5,,Partially cloudy,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T13:00:00,18.7,18.7,7.4,47.83,0,0,,0,0,,16.6,275,1030,90,39.3,390,1.4,4,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03772099999,03770099999"
"London,UK",2013-09-01T14:00:00,18.9,18.9,7.7,48.03,0,0,,0,0,,17.7,265,1029.7,90,39.1,486.8,1.8,5,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T15:00:00,19.8,19.8,7.4,44.64,0,0,,0,0,,17.2,270,1029.3,90,34.9,520,1.9,5,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T16:00:00,20.1,20.1,7.5,43.92,0,0,,0,0,,17.2,266,1028.8,73.6,34.9,428.8,1.5,4,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T17:00:00,20.6,20.6,7.9,43.72,0,0,,0,0,,17.2,256,1028,73.6,36.3,275.6,1,3,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T18:00:00,19.7,19.7,8.1,47.03,0,0,,0,0,,18.9,261,1027.8,73.3,41.1,128,0.5,1,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T19:00:00,18.8,18.8,8.6,51.51,0,0,,0,0,,16.1,255,1027.5,86.3,45.4,18,0.1,0,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T20:00:00,17.6,17.6,9,57.07,0,0,,0,0,,17.7,253,1027.6,93.9,38.1,0,0,0,,Overcast,cloudy,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T21:00:00,16.7,16.7,9.5,62.45,0,0,,0,0,,16.7,262,1027.9,89.1,37.5,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T22:00:00,15.7,15.7,9.6,66.94,0,0,,0,0,,18.9,267,1028.1,64.8,34.2,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-01T23:00:00,14.8,14.8,9.7,71.83,0,0,,0,0,,15.2,262,1028.2,61.6,31.8,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T00:00:00,14,14,9.9,76.55,0,0,,0,0,,15.4,273,1028.2,63,33.4,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T01:00:00,13.3,13.3,10,80.18,0,0,,0,0,,11.5,281,1028.1,43.4,33.1,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T02:00:00,12.4,12.4,9.8,83.74,0,0,,0,0,,10.3,274,1027.9,10,24.7,0,0,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T03:00:00,11.7,11.7,9.7,87.2,0,0,,0,0,,8.4,276,1027.6,30,28.4,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T04:00:00,11.1,11.1,9.4,89.38,0,0,,0,0,,9.6,261,1027.1,32.7,25.3,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T05:00:00,11,11,9.5,90.2,0,0,,0,0,,11.5,248,1027,22.8,23.8,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T06:00:00,10.8,10.8,9.3,90.89,0,0,,0,0,,12.7,252,1027.2,13.9,23.1,18.5,0.1,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T07:00:00,11.1,11.1,9.5,90.02,0,0,,0,0,,9.3,248,1027.2,60,25.4,146.8,0.5,1,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T08:00:00,13.1,13.1,10.3,83.26,0,0,,0,0,,14.2,258,1027.3,90,31.2,310,1.1,3,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T09:00:00,14.5,14.5,10.6,77.68,0,0,,0,0,,16.1,270,1027.6,80,32.5,464.5,1.7,5,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T10:00:00,16.2,16.2,10.7,69.94,0,0,,0,0,,17.5,276,1027.8,90,34.9,585.5,2.1,6,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T11:00:00,18.1,18.1,11,63.33,0,0,,0,0,,13.3,272,1027.8,80,34,676.5,2.4,7,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T12:00:00,20.2,20.2,11.7,57.81,0,0,,0,0,,12.5,302,1027.4,80,37.7,734.5,2.6,7,,Partially cloudy,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T13:00:00,21.3,21.3,12.3,56.51,0,0,,0,0,,12.5,286,1026.9,80,43.1,729.5,2.6,7,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T14:00:00,22.6,22.6,12.9,54.3,0,0,,0,0,,15.9,284,1026.6,60,46.8,682.3,2.5,7,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T15:00:00,23.6,23.6,12.9,51.18,0,0,,0,0,,14.6,314,1026.4,50,45.8,591,2.1,6,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T16:00:00,24.7,24.7,12.9,47.9,0,0,,0,0,,15.8,301,1026,30,50,453.1,1.6,5,,Partially cloudy,partly-cloudy-day,"03680099999,03672099999,03772099999,03770099999"
"London,UK",2013-09-02T17:00:00,24.3,24.3,13.2,49.99,0,0,,0,0,,12.9,302,1025.9,39.5,44.4,290.3,1,3,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T18:00:00,23.9,23.9,13.2,51.27,0,0,,0,0,,12.7,289,1025.9,21.2,50,134.6,0.5,1,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T19:00:00,23.3,23.3,13.4,53.77,0,0,,0,0,,12.1,302,1026,10,44.5,17.3,0.1,0,,Clear,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T20:00:00,21.2,21.2,13.5,61.34,0,0,,0,0,,8.5,290,1026.6,40,45.4,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T21:00:00,19.6,19.6,13.8,68.91,0,0,,0,0,,6.6,299,1027.1,2.6,39.9,0,0,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T22:00:00,18.6,18.6,13.8,73.67,0,0,,0,0,,6.6,303,1027.6,20.7,38.7,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-02T23:00:00,17.7,17.7,13.8,78.32,0,0,,0,0,,7.9,304,1027.9,61.9,41.1,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-03T00:00:00,16.8,16.8,13.7,81.84,0,0,,0,0,,7,293,1028,88.9,40.6,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-03T01:00:00,15.7,15.7,13.5,86.95,0,0,,0,0,,5,316,1027.8,94.5,41.8,0,0,0,,Overcast,cloudy,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-03T02:00:00,14.8,14.8,13.1,89.73,0,0,,0,0,,3.9,292,1027.6,94.3,35,0,0,0,,Overcast,cloudy,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-03T03:00:00,14.2,14.2,13,92.23,0,0,,0,0,,3.9,311,1027.8,94.3,26.1,0,0,0,,Overcast,cloudy,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-03T04:00:00,13.7,13.7,12.7,93.49,0,0,,0,0,,3.3,303,1027.7,93.7,20.3,0,0,0,,Overcast,cloudy,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-03T05:00:00,13.2,13.2,12.4,94.94,0,0,,0,0,,3.9,359,1027.6,71.3,20.6,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-03T06:00:00,12.7,12.7,12,95.31,0,0,,0,0,,3.3,337,1027.7,46.5,19.7,15.9,0.1,0,,Partially cloudy,partly-cloudy-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-09-03T07:00:00,12.8,12.8,12.2,96.25,0,0,,0,0,,2.3,326,1027.9,10,16.4,128.5,0.5,1,,Clear,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
