name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"London,UK",2013-06-11T00:00:00,12.1,12.1,7.1,71.56,0,0,,0,0,,9,160,1015.5,71.1,24.1,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T01:00:00,10.6,10.6,7,78.47,0,0,,0,0,,7.5,141,1015.4,50,18.6,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T02:00:00,10.1,10.1,7,81.12,0,0,,0,0,,7.8,113,1015.1,50.1,18.2,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T03:00:00,9.9,8,6.7,80.49,0,0,,0,0,,13,120,1014.6,90,16,0,0,0,,Partially cloudy,partly-cloudy-night,03772099999
"London,UK",2013-06-11T04:00:00,10.1,10.1,6.8,79.99,0,0,,0,0,,10.5,124,1014.4,79.5,20.5,0.1,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T05:00:00,10.1,10.1,6.8,79.99,0,0,,0,0,,8.5,103,1013.9,73.2,18.2,16.8,0.1,0,,Partially cloudy,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T06:00:00,10.6,10.6,7.5,81.14,0,0,,0,0,,9.2,106,1013.8,93.7,17.6,35.6,0.1,0,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T07:00:00,11.1,11.1,8,81.2,0,0,,0,0,,8.4,115,1013.8,90.8,14.4,56.5,0.2,1,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T08:00:00,12.1,12.1,8.6,78.66,0,0,,0,0,,10.6,119,1013.6,89.9,11.5,96.7,0.3,1,,Partially cloudy,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T09:00:00,13.6,13.6,10.3,80.48,0,0,,0,0,25.9,10.8,149,1013.7,84.5,10.4,179.9,0.6,2,,Partially cloudy,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T10:00:00,15.5,15.5,11.3,76.09,0,0,,0,0,,13.4,158,1013.6,87.2,11,367.3,1.3,4,,Partially cloudy,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T11:00:00,16.3,16.3,12.1,76.23,0,0,,0,0,,17.8,184,1013.8,94.4,13.9,511,1.8,5,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T12:00:00,16.3,16.3,12.4,77.24,0,0,,0,0,,16.1,180,1013.6,97.2,14.1,519,1.9,5,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T13:00:00,16.8,16.8,13.1,78.86,0,0,,0,0,,18,188,1013.7,94.4,23.2,366.5,1.3,4,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T14:00:00,16.6,16.6,13.4,80.94,0,0,,0,0,,18.2,185,1013.7,100,4.9,291.3,1,3,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T15:00:00,16.3,16.3,13.8,85.17,0,0,,0,0,,17.9,184,1013.7,98.8,18.4,324.1,1.2,3,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T16:00:00,17,17,14.1,83.09,0,0,,0,0,,17.1,190,1013.6,100,18.4,292.1,1.1,3,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T17:00:00,17,17,14.2,83.09,0,0,,0,0,,18.1,184,1013.2,96.3,20.4,219,0.8,2,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T18:00:00,16.8,16.8,14.8,87.99,0,0,,0,0,,16.1,192,1012.9,85.4,25.5,175,0.6,2,,Partially cloudy,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T19:00:00,17.1,17.1,13.8,80.97,0.002,100,rain,0,0,,17.8,191,1012.9,90,28.2,100,0.4,1,,"Rain, Partially cloudy",rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T20:00:00,16.8,16.8,13.6,81.44,0,0,,0,0,,18.7,195,1012.8,87.2,30.4,30.7,0.1,0,,Partially cloudy,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T21:00:00,16.3,16.3,13.1,81.39,0,0,,0,0,,20.2,194,1012.9,45.1,31.5,0.2,0,0,,Partially cloudy,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T22:00:00,15.5,15.5,12.8,83.95,0,0,,0,0,,16.2,206,1013.4,39.9,33,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-11T23:00:00,15,15,11.5,79.64,0,0,,0,0,,12.7,189,1013.4,64.6,34.6,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T00:00:00,14.5,14.5,11.4,81.16,0,0,,0,0,,10.1,176,1013,67.7,29.9,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T01:00:00,14.6,14.6,12,84.43,0.199,100,rain,0,0,,10.8,177,1012.6,73,25.9,0,0,0,,"Rain, Partially cloudy",rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T02:00:00,15.1,15.1,12.6,85.05,0,0,,0,0,,14.5,174,1012,74.4,23.9,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T03:00:00,15.6,15.6,13.5,87.34,0,0,,0,0,,18,197,1011.5,85.2,15,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T04:00:00,15.3,15.3,13.8,90.79,0,0,,0,0,,17.5,197,1011,99.1,12.6,0,0,0,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T05:00:00,15.1,15.1,13.6,90.77,0,0,,0,0,42.5,18.2,202,1010.9,97.2,25.8,13.8,0,0,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T06:00:00,15.3,15.3,13,86.17,0,0,,0,0,46.4,26.6,206,1010.6,100,29.6,51.3,0.2,1,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T07:00:00,15.1,15.1,12.6,85.03,0.002,100,rain,0,0,50.9,25.2,214,1011,96.3,30.8,109.1,0.4,1,,"Rain, Overcast",rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T08:00:00,15.1,15.1,12.1,82.3,0,0,,0,0,45.5,24.9,218,1011.4,99.1,25.1,172.1,0.6,2,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T09:00:00,15.3,15.3,12.1,81.25,0,0,,0,0,45.5,25.7,227,1012,100,28.8,228.4,0.8,2,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T10:00:00,15.8,15.8,11.9,77.15,0,0,,0,0,50,25.9,226,1012.2,90,35.8,312.3,1.1,3,,Partially cloudy,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T11:00:00,16.5,16.5,11.9,73.81,0,0,,0,0,46.5,28.2,220,1012.5,90,36.1,482.9,1.7,5,,Partially cloudy,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T12:00:00,16.6,16.6,12.2,74.79,0,0,,0,0,49.1,28,220,1012.6,87.2,34.8,546,2,5,,Partially cloudy,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T13:00:00,16.6,16.6,12,74.31,0,0,,0,0,48.2,24.9,217,1012.8,90,22.5,672.5,2.4,7,,Partially cloudy,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T14:00:00,16.6,16.6,12.8,78.29,0,0,,0,0,48.2,24.8,215,1012.6,100,27.6,533,1.9,5,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T15:00:00,16.3,16.3,13.3,82.45,0,0,,0,0,,25.2,213,1012.1,100,17.8,332.8,1.2,3,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T16:00:00,16.6,16.6,14,84.64,0,0,,0,0,48.2,24.2,201,1011.4,100,25.1,187,0.7,2,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T17:00:00,16.8,16.8,14.5,86.33,0,0,,0,0,,26.6,201,1010.5,97.2,23.6,96.6,0.3,1,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T18:00:00,17.3,17.3,15,86.41,0,0,,0,0,49.8,27.1,213,1010.3,93.5,10.3,55.9,0.2,1,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T19:00:00,17.1,17.1,15,87.48,0.203,100,rain,0,0,52,25.8,214,1010.4,93.5,12,34,0.1,0,,"Rain, Overcast",rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T20:00:00,16.3,16.3,15,92.02,0,0,,0,0,57.6,27.4,214,1010.2,90.7,11.9,11.5,0,0,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T21:00:00,16.1,16.1,14.6,90.84,0,0,,0,0,53.9,26.2,211,1009.9,97.2,19,0,0,0,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T22:00:00,15.8,15.8,14.3,90.81,0,0,,0,0,48.5,29.7,214,1010.1,84.4,20.3,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-12T23:00:00,15.6,15.6,14,90.21,0,0,,0,0,50.1,25.6,214,1010.4,90,20.5,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-13T00:00:00,15,15,13.6,91.34,0,0,,0,0,53.2,25.2,214,1010.3,83.6,14.6,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-13T01:00:00,14.6,14.6,11.3,80.62,1.001,100,rain,0,0,54.9,26.4,222,1010.3,69.5,19.5,0,0,0,,"Rain, Partially cloudy",rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-13T02:00:00,14.3,14.3,10.8,79.52,0,0,,0,0,48.4,23.4,221,1009.7,78.6,18.1,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-13T03:00:00,14,14,11.1,82.68,0,0,,0,0,49.6,27,218,1009.1,86.5,18.2,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-13T04:00:00,14.1,14.1,10.3,77.92,0,0,,0,0,51.3,24.1,217,1009.2,90,18.3,0.1,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-13T05:00:00,14,14,10,76.86,0,0,,0,0,52.1,30.3,224,1009.3,87.2,20.3,28.7,0.1,0,,Partially cloudy,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-13T06:00:00,13.8,13.8,9.6,75.82,0,0,,0,0,50.4,27.1,221,1009.1,90,22.6,120.9,0.4,1,,Partially cloudy,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-13T07:00:00,13.5,13.5,10.1,79.95,0,0,,0,0,53.6,25.8,218,1009.3,93.5,19.2,144.8,0.5,1,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-13T08:00:00,13.3,13.3,10.8,84.84,0,0,,0,0,48.3,28.1,217,1009.4,97.2,16.2,165.1,0.6,2,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-13T09:00:00,13.6,13.6,11.1,84.87,0,0,,0,0,50,24.3,214,1009.4,100,16.2,141.9,0.5,1,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-13T10:00:00,14,14,11.1,82.7,0,0,,0,0,49.2,26.9,214,1009.2,97.2,19.7,165.4,0.6,2,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-13T11:00:00,14.8,14.8,12.1,83.89,0,0,,0,0,45.9,23.3,221,1009.1,95.4,19.1,193.9,0.7,2,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-13T12:00:00,15,15,11.3,78.57,0,0,,0,0,44.7,27.3,221,1009.7,93.5,27.5,216.9,0.8,2,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-06-13T13:00:00,14.8,14.8,11.1,78.51,0.001,100,rain,0,0,49.7,29.5,226,1010.3,94.4,31.9,288.6,1,3,,"Rain, Overcast",rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
